"Statistika prostih delovnih mest po: SKP STANDARDNA KLASIFIKACIJA"
"POKLICEV, LETO , MERITVE"

" ";"2006";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" "
" ";"Število prostih delovnih mest - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)"
"Standardna klasifikacija poklicev - SKUPAJ";7985;735241;1.1;5544;591527;0.9;8877;760063;1.2;6150;610954;1.0;7826;766068;1.0;5315;612553;0.9;4980;744077;0.7;3171;588568;0.5;4927;727749;0.7;3144;573481;0.5;6075;711407;0.8;3784;560257;0.7;5340;702010;0.8;3247;551776;0.6
"1  Zakonodajalci, visoki uradniki, menedzerji";132;37290;0.4;70;19874;0.4;122;38967;0.3;69;20670;0.3;117;40689;0.3;59;21056;0.3;99;42538;0.2;44;21830;0.2;88;42815;0.2;44;21475;0.2;116;41900;0.3;57;20664;0.3;109;40096;0.3;49;20584;0.2
"2  Strokovnjaki";884;96010;0.9;743;87794;0.8;912;100946;0.9;761;91875;0.8;754;100306;0.7;614;90844;0.7;640;103999;0.6;524;94032;0.6;683;109598;0.6;541;98786;0.5;768;112390;0.7;587;100969;0.6;698;133565;0.5;542;118871;0.5
"3  Tehniki in drugi strokovni sodelavci";876;137629;0.6;583;112503;0.5;924;140571;0.7;646;114579;0.6;849;141310;0.6;594;114413;0.5;577;141344;0.4;390;113926;0.3;689;137772;0.5;439;110684;0.4;670;134081;0.5;410;107511;0.4;542;116059;0.5;317;91353;0.3
"4  Uradniki";473;75159;0.6;355;61402;0.6;521;75889;0.7;394;62057;0.6;463;74337;0.6;356;60729;0.6;240;71864;0.3;167;58440;0.3;249;69320;0.4;158;56279;0.3;265;66208;0.4;163;53791;0.3;216;62182;0.3;123;50320;0.2
"5  Poklici za storitve, prodajalci";1103;89136;1.2;616;59528;1.0;1273;91237;1.4;740;61325;1.2;1131;90854;1.2;661;61379;1.1;811;90570;0.9;443;61411;0.7;733;89418;0.8;392;60735;0.6;789;88558;0.9;419;60334;0.7;668;94285;0.7;357;65189;0.5
"6  Kmetovalci, gozdarji, ribièi, lovci";30;4037;0.7;18;3082;0.6;29;3966;0.7;16;2995;0.5;29;3786;0.8;18;2892;0.6;24;3691;0.6;13;2788;0.5;17;3532;0.5;8;2647;0.3;26;3367;0.8;14;2519;0.6;23;3291;0.7;8;2403;0.3
"7  Poklici za neindustrijski naèin dela";1820;104858;1.7;1198;82972;1.4;2090;110976;1.8;1355;87887;1.5;1864;116149;1.6;1187;91766;1.3;1094;111803;1.0;626;86712;0.7;1091;105395;1.0;615;80428;0.8;1863;100882;1.8;1061;76516;1.4;1749;107390;1.6;972;81911;1.2
"8  Upravljalci strojev in naprav, industrijski izdelovalci in sestavljalci";928;104753;0.9;653;92903;0.7;1026;106065;1.0;713;93763;0.8;829;103972;0.8;574;91375;0.6;438;88996;0.5;275;77038;0.4;512;84337;0.6;336;72844;0.5;592;82075;0.7;395;70939;0.6;432;69163;0.6;266;59098;0.4
"9  Poklici za preprosta dela";1740;84206;2.0;1309;69710;1.8;1981;89568;2.2;1457;74259;1.9;1790;93002;1.9;1254;76740;1.6;1057;87856;1.2;690;71259;1.0;866;84315;1.0;612;68622;0.9;985;80943;1.2;680;66230;1.0;905;75929;1.2;613;62014;1.0
"   Neznano";0;2167;0.0;0;1759;0.0;0;1878;0.0;0;1545;0.0;0;1665;0.0;0;1360;0.0;0;1417;0.0;0;1132;0.0;0;1248;0.0;0;981;0.0;0;1005;0.0;0;785;0.0;0;50;0.0;0;34;0.0

"Vir: Statistièni urad Republike Slovenije. "
"Raziskava o prostih delovnih mestih temelji na izkljuèno "
"administrativnih virih: "
"- podatke o prostih delovnih mestih  pridobimo od Zavoda RS za "
"zaposlovanje, ki jih zbira na obrazcu PD-1; "
"- podatke o zasedenih delovnih mestih pa pridobimo iz Statistiènega "
"registra delovno aktivnega prebivalstva (SRDAP), ki ga vzdržuje naš "
"urad."

"Povezave: "
"- (seznam HREF=http://www.stat.si/doc/metod_pojasnila/07-146-MP.pdf "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/koledar.asp?pod=7&kon=146&DatumOd=1.1.2005&Da-"
"tumDo=Date() target=_blank) Koledar objav "

"Podatki so razvršèeni po veljavni Standardni klasifikaciji poklicev, "
"ki je opisana v (seznam HREF=http://www.stat.si/klasje/klasje.asp "
"target=_blank) klasifikacijskem strežniku Klasje.   Do vkljuèno leta "
"2011 so podaki razvršèeni po Standardni klasifikaciji poklicev "
"(SKP-V2) od leta 2012 dalje pa po Standardni klasifikaciji poklicev "
"(SKP-08). Na ravni glavnih skupin poklicev sta obe klasifikaciji "
"enaki. Razlikujeta pa se po tem, da so bili v klasifikaciji SKP-08  "
"izvedeni posamezni premiki  poklicev znotraj glavnih skupin poklicev. "
"Zaradi tega ni možna neposredna  primerjava podatkov v èasovni seriji."

"Velikost je doloèena glede na število zasedenih delovnih mest: "
"- SKUPAJ vkljuèeni so vsi deli poslovnih subjektov oz. poslovni "
"subjekti v celoti (v kolikor le-ti nimajo podrejene enote), pri "
"katerih je zaposlena vsaj ena oseba; "
"- 10+ vkljuèeni so vsi deli poslovnih subjektov oz. poslovni subjekti "
"v celoti (v kolikor le-ti nimajo podrejene enote), pri katerih je "
"zaposlenih 10 ali veè oseb. "

