"Occupation";"Total_employment"
"Nurse Anesthetists";36590
"Ophthalmic Medical Technicians";36470
"Meter Readers, Utilities";36210
"Prepress Technicians and Workers";36180
"Graders and Sorters, Agricultural Products";36100
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic";35900
"Urban and Regional Planners";35820
"Computer Science Teachers, Postsecondary";35410
"Farm Equipment Mechanics and Service Technicians";35320
"Dental Laboratory Technicians";35320
"Miscellaneous Health Diagnosing and Treating Practitioners";35310
"Health Diagnosing and Treating Practitioners, All Other";35310
"Tour Guides and Escorts";35100
"Funeral Attendants";34950
"Ship and Boat Captains and Operators";34760
"Molders, Shapers, and Casters, Except Metal and Plastic";34610
"Geoscientists, Except Hydrologists and Geographers";34000
"Environmental Science and Protection Technicians, Including Health";33760
"Petroleum Engineers";33740
"Chemical Engineers";33470
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic";33370
"Optometrists";33340
"Home Appliance Repairers";33270
"Art Directors";33140
"Magnetic Resonance Imaging Technologists";33130
"Miscellaneous Construction and Related Workers";32320
"Biological Scientists, All Other";32230
"Occupational Therapy Assistants";32230
"Social Scientists and Related Workers, All Other";32010
"Education Administrators, All Other";31920
"Lodging Managers";31740
"Agricultural and Food Scientists";31670
"Tile and Marble Setters";31590
"Farmworkers, Farm, Ranch, and Aquacultural Animals";31540
"Biochemists and Biophysicists";31350
"Construction and Related Workers, All Other";31190
"First-Line Supervisors of Gaming Workers";31100
"Concierges";31050
"Pediatricians, General";31010
"Foreign Language and Literature Teachers, Postsecondary";30880
"Coin, Vending, and Amusement Machine Servicers and Repairers";30840
"Captains, Mates, and Pilots of Water Vessels";30690
"Metal Furnace Operators, Tenders, Pourers, and Casters";30540
"Forest and Conservation Technicians";30310
"Radio and Television Announcers";30220
"Marriage and Family Therapists";30150
"Anesthesiologists";30060
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders";29980
"Air Traffic Controllers and Airfield Operations Specialists";29920
"Training and Development Managers";29870
"Chiropractors";29830
"Upholsterers";29770
"Credit Counselors";29600
"Pumping Station Operators";29590
"Communications Teachers, Postsecondary";29470
"Commercial and Industrial Designers";29410
"Electrical and Electronics Drafters";29390
"Advertising and Promotions Managers";29340
"Grinding and Polishing Workers, Hand";29320
"Outdoor Power Equipment and Other Small Engine Mechanics";29220
"Multimedia Artists and Animators";29000
"Photographic Process Workers and Processing Machine Operators";28800
"Dietetic Technicians";28690
"Insulation Workers, Mechanical";28660
"Conservation Scientists and Foresters";28350
"Counselors, All Other";28240
"Judges, Magistrate Judges, and Magistrates";28090
"Social Science Research Assistants";27780
"Sailors and Marine Oilers";27640
"Ophthalmic Laboratory Technicians";27610
"Statisticians";26970
"Private Detectives and Investigators";26880
"Broadcast Technicians";26600
"Electronic Home Entertainment Equipment Installers and Repairers";26590
"Archivists, Curators, and Museum Technicians";26510
"Rotary Drill Operators, Oil and Gas";26480
"Tailors, Dressmakers, and Sewers";26160
"Agricultural Equipment Operators";26100
"Carpet Installers";26050
"Logging Equipment Operators";26010
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders";25740
"Media and Communication Workers, All Other";25530
"Morticians, Undertakers, and Funeral Directors";25160
"Psychiatrists";25080
"Materials Engineers";24990
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic";24960
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors";24530
"Film and Video Editors";24460
"Septic Tank Servicers and Sewer Pipe Cleaners";24350
"Transportation Inspectors";24350
"Computer and Information Research Scientists";24210
"Insulation Workers, Floor, Ceiling, and Wall";24180
"Helpers--Extraction Workers";24130
"Gaming Supervisors";24100
"Special Education Teachers, Preschool";24080
"Pesticide Handlers, Sprayers, and Applicators, Vegetation";23790
"History Teachers, Postsecondary";23640
"Semiconductor Processors";23580
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters";23570
"Philosophy and Religion Teachers, Postsecondary";23210
"Jewelers and Precious Stone and Metal Workers";23200
"Miscellaneous Physical Scientists";23030
"Physical Scientists, All Other";23030
"Miscellaneous Material Moving Workers";22910
"Material Moving Workers, All Other";22910
"Air Traffic Controllers";22860
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders";22760
"Athletic Trainers";22400
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay";22120
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic";22110
"Metal Workers and Plastic Workers, All Other";22100
"Music Directors and Composers";21880
"Obstetricians and Gynecologists";21740
"Actuaries";21490
"Chemistry Teachers, Postsecondary";21470
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic";21340
"Railroad Brake, Signal, and Switch Operators";21060
"Fence Erectors";20990
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic";20980
"Mining Machine Operators";20960
"Metal-Refining Furnace Operators and Tenders";20850
"Plasterers and Stucco Masons";20760
"Derrick Operators, Oil and Gas";20760
"Microbiologists";20670
"Agricultural and Food Science Technicians";20640
"Elevator Installers and Repairers";20590
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders";20590
"Riggers";20350
"Nuclear Medicine Technologists";20320
"Motorboat Mechanics and Service Technicians";20210
"Tailors, Dressmakers, and Custom Sewers";20200
"Biomedical Engineers";20080
"Rail Car Repairers";20080
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers";19770
"Gaming Change Persons and Booth Cashiers";19580
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians";19350
"Conservation Scientists";19210
"Helpers, Construction Trades, All Other";19190
"Earth Drillers, Except Oil and Gas";19160
"Zoologists and Wildlife Biologists";18970
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders";18890
"Directors, Religious Activities and Education";18850
"Fiberglass Laminators and Fabricators";18770
"Economists";18680
"Recreation and Fitness Studies Teachers, Postsecondary";18650
"Cooks, All Other";18600
"Grounds Maintenance Workers, All Other";18570
"Supervisors of Farming, Fishing, and Forestry Workers";18530
"First-Line Supervisors of Farming, Fishing, and Forestry Workers";18530
"Reinforcing Iron and Rebar Workers";18530
"Astronomers and Physicists";18450
"Court Reporters";18330
"Camera Operators, Television, Video, and Motion Picture";18310
"Adhesive Bonding Machine Operators and Tenders";18210
"Landscape Architects";18110
"Environmental Engineering Technicians";18080
"Recreational Therapists";17950
"Postmasters and Mail Superintendents";17930
"Fashion Designers";17840
"Locker Room, Coatroom, and Dressing Room Attendants";17830
"Tire Builders";17680
"Miscellaneous Media and Communication Equipment Workers";17650
"Media and Communication Equipment Workers, All Other";17650
"Entertainment Attendants and Related Workers, All Other";17580
"Umpires, Referees, and Other Sports Officials";17510
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic";17470
"Electric Motor, Power Tool, and Related Repairers";17380
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders";17360
"Dancers and Choreographers";17270
"Mechanical Door Repairers";17220
"Boilermakers";17210
"Avionics Technicians";17150
"Locksmiths and Safe Repairers";17090
"Political Science Teachers, Postsecondary";17050
"Sociology Teachers, Postsecondary";16900
"Tapers";16820
"Physicists";16790
"Shampooers";16560
"Nuclear Engineers";16520
"Compensation and Benefits Managers";16380
"Radiation Therapists";16380
"Transportation Attendants, Except Flight Attendants";16380
"Gaming Cage Workers";16350
"Gas Plant Operators";16320
"Bailiffs";16310
"Painting, Coating, and Decorating Workers";16280
"Gaming Service Workers, All Other";16220
"Textile, Apparel, and Furnishings Workers, All Other";16110
"Geological and Petroleum Technicians";16020
"Law Teachers, Postsecondary";15990
"Miscellaneous Entertainers and Performers, Sports and Related Workers";15780
"Entertainers and Performers, Sports and Related Workers, All Other";15780
"Automotive Glass Installers and Repairers";15670
"Building Cleaning Workers, All Other";15620
"Cutters and Trimmers, Hand";15520
"Motorcycle Mechanics";15420
"Survey Researchers";15410
"Furniture Finishers";15320
"Soil and Plant Scientists";15150
"Coil Winders, Tapers, and Finishers";14930
"Criminal Justice and Law Enforcement Teachers, Postsecondary";14890
"Rail-Track Laying and Maintenance Equipment Operators";14820
"Electro-Mechanical Technicians";14430
"Textile Cutting Machine Setters, Operators, and Tenders";14370
"Drafters, All Other";14270
"Food Scientists and Technologists";14170
"Physics Teachers, Postsecondary";14160
"Electrical and Electronics Installers and Repairers, Transportation Equipment";14160
"Administrative Law Judges, Adjudicators, and Hearing Officers";14140
"Barbers";14140
"Statistical Assistants";14110
"Career/Technical Education Teachers, Middle School";14000
"Occupational Health and Safety Technicians";13990
"Agricultural Inspectors";13800
"Sound Engineering Technicians";13750
"Economics Teachers, Postsecondary";13710
"Insurance Appraisers, Auto Damage";13690
"Forensic Science Technicians";13570
"Animal Control Workers";13450
"Desktop Publishers";13310
"Radio, Cellular, and Tower Equipment Installers and Repairers";13310
"Medical Appliance Technicians";13290
"Layout Workers, Metal and Plastic";13070
"Fire Inspectors";13000
"Wellhead Pumpers";12720
"Tank Car, Truck, and Ship Loaders";12490
"Audiologists";12250
"Pump Operators, Except Wellhead Pumpers";12170
"Gaming and Sports Book Writers and Runners";12160
"Fine Artists, Including Painters, Sculptors, and Illustrators";12100
"Psychologists, All Other";11980
"Foundry Mold and Coremakers";11870
"Agents and Business Managers of Artists, Performers, and Athletes";11860
"Therapists, All Other";11770
"Judicial Law Clerks";11660
"Helpers--Roofers";11640
"Cartographers and Photogrammetrists";11610
"Plant and System Operators, All Other";11610
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons";11570
"Continuous Mining Machine Operators";11540
"Athletes and Sports Competitors";11520
"Textile Bleaching and Dyeing Machine Operators and Tenders";11510
"Electronic Equipment Installers and Repairers, Motor Vehicles";11460
"Fire Inspectors and Investigators";11370
"Subway and Streetcar Operators";11300
"Shoe and Leather Workers";11260
"Buyers and Purchasing Agents, Farm Products";11250
"Stonemasons";11250
"Dancers";11240
"Aerospace Engineering and Operations Technicians";11230
"Curators";11200
"Precision Instrument and Equipment Repairers, All Other";11180
"Power Distributors and Dispatchers";11180
"Animal Trainers";11170
"Social Sciences Teachers, Postsecondary, All Other";11030
"Recreational Vehicle Service Technicians";10990
"Social Work Teachers, Postsecondary";10970
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary";10890
"Tool Grinders, Filers, and Sharpeners";10860
"Atmospheric and Space Scientists";10850
"Respiratory Therapy Technicians";10610
"Bicycle Repairers";10520
"Proofreaders and Copy Markers";10500
"Set and Exhibit Designers";10460
"Telephone Operators";10220
"Ship Engineers";10060
"Gaming Surveillance Officers and Gaming Investigators";10030
"Museum Technicians and Conservators";9950
"Model Makers and Patternmakers, Metal and Plastic";9910
"Agricultural Sciences Teachers, Postsecondary";9890
"Floor Layers, Except Carpet, Wood, and Hard Tiles";9830
"Emergency Management Directors";9770
"Pourers and Casters, Metal";9690
"Miscellaneous Life Scientists";9400
"Life Scientists, All Other";9400
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary";9150
"Foresters";9140
"Audio-Visual and Multimedia Collections Specialists";8960
"Podiatrists";8910
"Farm and Home Management Advisors";8900
"Parking Enforcement Workers";8680
"Etchers and Engravers";8630
"Occupational Therapy Aides";8570
"Funeral Service Managers";8330
"Mining and Geological Engineers, Including Mining Safety Engineers";8200
"Miscellaneous Religious Workers";8110
"Religious Workers, All Other";8110
"Cooling and Freezing Equipment Operators and Tenders";8070
"Explosives Workers, Ordnance Handling Experts, and Blasters";7970
"Signal and Track Switch Repairers";7880
"Orthotists and Prosthetists";7830
"Shoe and Leather Workers and Repairers";7710
"Artists and Related Workers, All Other";7700
"Musical Instrument Repairers and Tuners";7660
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers";7610
"Correspondence Clerks";7580
"Marine Engineers and Naval Architects";7570
"Public Address System and Other Announcers";7450
"Nuclear Power Reactor Operators";7400
"Architecture Teachers, Postsecondary";7190
"Airfield Operations Specialists";7050
"Anthropologists and Archeologists";7040
"Slot Supervisors";7000
"Mine Cutting and Channeling Machine Operators";6960
"Miscellaneous Woodworkers";6940
"Woodworkers, All Other";6940
"Materials Scientists";6900
"Designers, All Other";6890
"Forest and Conservation Workers";6870
"Arbitrators, Mediators, and Conciliators";6710
"Exercise Physiologists";6660
"Hydrologists";6580
"Traffic Technicians";6490
"Nuclear Technicians";6380
"Motion Picture Projectionists";6290
"Costume Attendants";6270
"Orthodontists";6190
"Model Makers, Metal and Plastic";6140
"Anthropology and Archeology Teachers, Postsecondary";6100
"Fallers";6090
"Choreographers";6030
"Sewers, Hand";5960
"Fish and Game Wardens";5820
"Aircraft Cargo Handling Supervisors";5750
"Roof Bolters, Mining";5710
"Political Scientists";5640
"Hearing Aid Specialists";5570
"Dentists, All Other Specialists";5450
"Fabric and Apparel Patternmakers";5440
"Epidemiologists";5420
"Archivists";5360
"Miscellaneous Extraction Workers";5320
"Extraction Workers, All Other";5320
"Environmental Science Teachers, Postsecondary";5300
"Agricultural Workers, All Other";5270
"Solar Photovoltaic Installers";5170
"Models";5140
"Oral and Maxillofacial Surgeons";5120
"Nurse Midwives";5110
"Craft Artists";4760
"Gas Compressor and Gas Pumping Station Operators";4700
"Library Science Teachers, Postsecondary";4540
"Floor Sanders and Finishers";4510
"Geography Teachers, Postsecondary";4440
"Broadcast News Analysts";4310
"Farmers, Ranchers, and Other Agricultural Managers";4300
"Loading Machine Operators, Underground Mining";4220
"Motorboat Operators";4060
"Rail Yard Engineers, Dinkey Operators, and Hostlers";3900
"Gaming Managers";3870
"Patternmakers, Metal and Plastic";3770
"Wind Turbine Service Technicians";3710
"Embalmers";3650
"Miscellaneous Rail Transportation Workers";3640
"Rail Transportation Workers, All Other";3640
"Rock Splitters, Quarry";3630
"Home Economics Teachers, Postsecondary";3620
"Commercial Divers";3620
"Paperhangers";3570
"Shoe Machine Operators and Tenders";3550
"Pile-Driver Operators";3470
"Transit and Railroad Police";3380
"Manufactured Building and Mobile Home Installers";3280
"Bridge and Lock Tenders";3280
"Terrazzo Workers and Finishers";3250
"Historians";3220
"Camera and Photographic Equipment Repairers";3150
"Mathematicians";3130
"Travel Guides";3090
"Hoist and Winch Operators";2840
"Log Graders and Scalers";2780
"Logging Workers, All Other";2730
"Miscellaneous Mathematical Science Occupations";2660
"Mine Shuttle Car Operators";2630
"Makeup Artists, Theatrical and Performance";2610
"Mining Machine Operators, All Other";2470
"Agricultural Engineers";2450
"Watch Repairers";2390
"Miscellaneous Communications Equipment Operators";2370
"Communications Equipment Operators, All Other";2370
"Animal Scientists";2350
"Model Makers and Patternmakers, Wood";2310
"Sociologists";2240
"Genetic Counselors";2180
"Dredge Operators";1900
"Forestry and Conservation Science Teachers, Postsecondary";1850
"Refractory Materials Repairers, Except Brickmasons";1730
"Astronomers";1660
"Timing Device Assemblers and Adjusters";1650
"Forest Fire Inspectors and Prevention Specialists";1630
"Locomotive Firers";1610
"Mathematical Science Occupations, All Other";1600
"Model Makers, Wood";1360
"Geographers";1260
"Segmental Pavers";1130
"Industrial-Organizational Psychologists";1110
"Animal Breeders";1110
"Radio Operators";1100
"Mathematical Technicians";1060
"Farm Labor Contractors";950
"Patternmakers, Wood";950
"Fabric Menders, Except Garment";710
"Prosthodontists";630
"Cooks, Private Household";560
"Fishing and Hunting Workers";560
"Fishers and Related Fishing Workers";400
