"Occupation";"Total_employment"
"Tellers";514520
"Preschool and Kindergarten Teachers";510650
"Dishwashers";502280
"Postal Service Workers";501000
"Bus Drivers, School or Special Client";499440
"Supervisors of Construction and Extraction Workers";496370
"First-Line Supervisors of Construction Trades and Extraction Workers";496370
"Special Education Teachers";494870
"Personal Appearance Workers";493840
"Entertainers and Performers, Sports and Related Workers";491110
"Billing and Posting Clerks";490860
"Inspectors, Testers, Sorters, Samplers, and Weighers";489750
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop";476470
"Market Research Analysts and Marketing Specialists";468160
"Miscellaneous Postsecondary Teachers";458990
"Human Resources Specialists";456170
"Bailiffs, Correctional Officers, and Jailers";450730
"Farming, Fishing, and Forestry Occupations";447130
"Industrial Machinery Installation, Repair, and Maintenance Workers";445630
"Designers";445200
"Education Administrators";441950
"Counter and Rental Clerks";437610
"Supervisors of Installation, Maintenance, and Repair Workers";434810
"First-Line Supervisors of Mechanics, Installers, and Repairers";434810
"Correctional Officers and Jailers";434420
"Engineering Technicians, Except Drafters";432950
"Welding, Soldering, and Brazing Workers";424960
"Helpers--Production Workers";420520
"Pipelayers, Plumbers, Pipefitters, and Steamfitters";413650
"Dining Room and Cafeteria Attendants and Bartender Helpers";410460
"Buyers and Purchasing Agents";410230
"Driver/Sales Workers";405810
"Construction Equipment Operators";402920
"Cooks, Institution and Cafeteria";402800
"Machinists";392700
"Legal Support Workers";388990
"Other Construction and Related Workers";384390
"Agricultural Workers";383570
"Software Developers, Systems Software";382400
"Packaging and Filling Machine Operators and Tenders";381760
"Insurance Sales Agents";374700
"Supervisors of Transportation and Material Moving Workers";374480
"Butchers and Other Meat, Poultry, and Fish Processing Workers";373440
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop";372670
"Plumbers, Pipefitters, and Steamfitters";372570
"Welders, Cutters, Solderers, and Brazers";369610
"Pharmacy Technicians";368760
"Network and Computer Systems Administrators";365430
"Miscellaneous Managers";361900
"Managers, All Other";361900
"Sales Managers";358920
"Diagnostic Related Technologists and Technicians";357690
"Miscellaneous Protective Service Workers";357610
"Barbers, Hairdressers, Hairstylists and Cosmetologists";357280
"Social and Human Service Assistants";354800
"Preschool Teachers, Except Special Education";352420
"Life, Physical, and Social Science Technicians";351990
"Miscellaneous Installation, Maintenance, and Repair Workers";349210
"Bill and Account Collectors";346960
"Operating Engineers and Other Construction Equipment Operators";344510
"Hairdressers, Hairstylists, and Cosmetologists";343140
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic";342520
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products";335540
"Miscellaneous Agricultural Workers";332560
"Other Transportation Workers";331570
"Computer and Information Systems Managers";330360
"Credit Counselors and Loan Officers";330180
"Clinical Laboratory Technologists and Technicians";322170
"Fire Fighting and Prevention Workers";321790
"Cleaners of Vehicles and Equipment";321740
"Recreation Workers";321110
"Securities, Commodities, and Financial Services Sales Agents";316340
"Miscellaneous Entertainment Attendants and Related Workers";315910
"Plant and System Operators";315200
"Dental Assistants";314330
"Industrial Machinery Mechanics";313880
"Physicians and Surgeons, All Other";311320
"Medical and Health Services Managers";310320
"Firefighters";308790
"Electrical and Electronics Engineers";308530
"Postal Service Mail Carriers";307490
"Computer Programmers";302150
"Loan Officers";300580
"Production, Planning, and Expediting Clerks";297050
"Pharmacists";290780
"Purchasing Agents, Except Wholesale, Retail, and Farm Products";288430
"Data Entry and Information Processing Workers";287240
"Dispatchers";286710
"Child, Family, and School Social Workers";286520
"Arts, Communications, and Humanities Teachers, Postsecondary";281020
"Claims Adjusters, Appraisers, Examiners, and Investigators";279980
"Life Scientists";278790
"Physical Scientists";274510
"Amusement and Recreation Attendants";274230
"Supervisors of Protective Service Workers";273750
"Paralegals and Legal Assistants";272580
"Mechanical Engineers";270700
"Supervisors of Building and Grounds Cleaning and Maintenance Workers";270150
"First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers";270150
"Teachers and Instructors, All Other, Except Substitute Teachers";269760
"Extraction Workers";269660
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse";269650
"Electrical, Electronics, and Electromechanical Assemblers";269250
"Administrative Services Managers";268730
"Claims Adjusters, Examiners, and Investigators";266280
"Civil Engineers";263460
"Financial Analysts";262610
"Industrial Engineers, Including Health and Safety";261510
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers";261390
"Printing Workers";254360
"Librarians, Curators, and Archivists";253930
"Insurance Claims and Policy Processing Clerks";252670
"Food Servers, Nonrestaurant";250840
"First-Line Supervisors of Non-Retail Sales Workers";248770
"Compliance Officers";246970
"Educational, Guidance, School, and Vocational Counselors";246280
"Chief Executives";246240
"Bus and Truck Mechanics and Diesel Engine Specialists";243080
"Air Transportation Workers";242350
"Hotel, Motel, and Resort Desk Clerks";241140
"Fitness Trainers and Aerobics Instructors";241000
"Athletes, Coaches, Umpires, and Related Workers";240780
"Training and Development Specialists";239500
"Social Scientists and Related Workers";239140
"Assemblers and Fabricators, All Other";238720
"Industrial Engineers";236990
"Emergency Medical Technicians and Paramedics";235760
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers";234920
"Telemarketers";234520
"Miscellaneous Office and Administrative Support Workers";234180
"Office and Administrative Support Workers, All Other";234180
"Education Administrators, Elementary and Secondary School";231800
"Parts Salespersons";231240
"Woodworkers";229870
"Line Installers and Repairers";228960
"Construction Managers";227710
"Radio and Telecommunications Equipment Installers and Repairers";226930
"Health Teachers, Postsecondary";224930
"Helpers, Construction Trades";224500
"Miscellaneous Food Processing Workers";220290
"Production Workers, All Other";217500
"Media and Communication Equipment Workers";214330
"Telecommunications Equipment Installers and Repairers, Except Line Installers";213620
"Legal Secretaries";212910
"Miscellaneous Computer Occupations";212510
"Computer Occupations, All Other";212510
"Loan Interviewers and Clerks";212440
"Coaches and Scouts";211760
"Cost Estimators";209130
"Painters and Paperhangers";208170
"Public Relations Specialists";208030
"Electrical and Electronic Equipment Assemblers";207330
"Data Entry Keyers";205950
"Painters, Construction and Maintenance";204600
"Self-Enrichment Education Teachers";202360
"Special Education Teachers, Kindergarten and Elementary School";200820
"Physical Therapists";200670
"Laundry and Dry-Cleaning Workers";199330
"Drafters";199260
"Food Service Managers";198610
"Graphic Designers";197540
"First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators";197000
"Dental Hygienists";196520
"Personal Financial Advisors";196490
"Real Estate Brokers and Sales Agents";196380
"Radiologic Technologists";193400
"Supervisors of Personal Care and Service Workers";193090
"Interviewers, Except Eligibility and Loan";190710
"Order Clerks";190390
"Dispatchers, Except Police, Fire, and Ambulance";190330
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic";190250
"Postsecondary Teachers, All Other";189490
"Writers and Editors";189060
"Medical Records and Health Information Technicians";184740
"Marketing Managers";184490
"Crushing, Grinding, Polishing, Mixing, and Blending Workers";181960
"Cooks, Short Order";180800
"Architectural and Engineering Managers";179320
"Taxi Drivers and Chauffeurs";178260
"Miscellaneous Information and Record Clerks";175530
"Information and Record Clerks, All Other";175530
"Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics";174690
"Electrical Engineers";174550
"Computer Network Support Specialists";174490
"Bakers";173730
"Animal Care and Service Workers";172990
"Computer Control Programmers and Operators";172990
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand";171720
"Property, Real Estate, and Community Association Managers";171140
"First-Line Supervisors of Housekeeping and Janitorial Workers";168960
"Health Specialties Teachers, Postsecondary";168090
"Industrial Production Managers";167200
"Printing Press Operators";166750
"Occupational Therapy and Physical Therapist Assistants and Aides";166440
"Payroll and Timekeeping Clerks";166400
"First-Line Supervisors of Personal Service Workers";161990
"Nonfarm Animal Caretakers";161820
"Medical and Clinical Laboratory Technologists";161710
"Architects, Surveyors, and Cartographers";160590
"Medical and Clinical Laboratory Technicians";160460
"Kindergarten Teachers, Except Special Education";158240
"Bus Drivers, Transit and Intercity";158050
"Real Estate Sales Agents";157660
"Painting Workers";156830
"Actors, Producers, and Directors";156510
"Cement Masons, Concrete Finishers, and Terrazzo Workers";155820
"Advertising Sales Agents";154220
"Cement Masons and Concrete Finishers";152570
"Meat, Poultry, and Fish Cutters and Trimmers";150310
"File Clerks";148280
"Computer-Controlled Machine Tool Operators, Metal and Plastic";148040
"First-Line Supervisors of Law Enforcement Workers";146560
"Healthcare Social Workers";145920
"Miscellaneous Life, Physical, and Social Science Technicians";144780
"Other Healthcare Practitioners and Technical Occupations";144540
"Sewing Machine Operators";142070
"Mathematical Science Occupations";141200
"Highway Maintenance Workers";140650
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic";140410
"Computer Network Architects";140080
"Installation, Maintenance, and Repair Workers, All Other";138460
"Reservation and Transportation Ticket Agents and Travel Clerks";138260
"Miscellaneous Financial Specialists";137460
"Financial Specialists, All Other";137460
"Automotive Body and Related Repairers";137140
"Butchers and Meat Cutters";137050
"Electrical and Electronics Engineering Technicians";137040
"Miscellaneous Personal Appearance Workers";136550
"Parking Lot Attendants";136440
"Special Education Teachers, Secondary School";135520
"Human Resources Assistants, Except Payroll and Timekeeping";135270
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers";135070
"Electronics Engineers, Except Computer";133990
"Instructional Coordinators";133780
"Librarians";133150
"Sheet Metal Workers";132530
"Tax Examiners, Collectors and Preparers, and Revenue Agents";132230
"Education Administrators, Postsecondary";131070
"Environmental Scientists and Geoscientists";129310
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic";128540
"Court, Municipal, and License Clerks";128490
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic";127240
"Helpers--Installation, Maintenance, and Repair Workers";126980
"Speech-Language Pathologists";126500
