"Statistika prostih delovnih mest po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";"2006";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" "
" ";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest (%) - SKUPAJ";"Število prostih delovnih mest - (10+)";"Število zasedenih delovnih mest - (10+)";"Stopnja prostih delovnih mest (%) - (10+)"
"00 SLOVENIJA";7985;735241;1.1;5544;591527;0.9;8877;760063;1.2;6150;610954;1.0;7826;766068;1.0;5315;612553;0.9;4980;744077;0.7;3171;588568;0.5;4927;727749;0.7;3144;573481;0.5;6075;711407;0.8;3784;560257;0.7;5340;702010;0.8;3247;551776;0.6
"01 Pomurska";364;35140;1.0;233;28223;0.8;377;35636;1.0;236;28538;0.8;320;35326;0.9;195;28154;0.7;232;33516;0.7;137;26287;0.5;229;31883;0.7;124;24568;0.5;292;31590;0.9;161;24376;0.7;224;31508;0.7;129;24458;0.5
"02 Podravska";1506;106387;1.4;1038;85990;1.2;1580;110837;1.4;1074;89684;1.2;1343;112798;1.2;890;91020;1.0;882;108182;0.8;533;86308;0.6;1014;105895;0.9;630;84408;0.7;1308;104028;1.2;778;82875;0.9;1227;102057;1.2;760;80814;0.9
"03 Koroška";218;23546;0.9;160;19473;0.8;237;23921;1.0;168;19703;0.8;186;23659;0.8;129;19402;0.7;112;22207;0.5;72;18010;0.4;126;21101;0.6;80;16950;0.5;174;20595;0.8;112;16451;0.7;145;20600;0.7;93;16452;0.6
"04 Savinjska";958;92352;1.0;671;76504;0.9;1063;95551;1.1;764;79030;1.0;879;96973;0.9;625;80085;0.8;602;93665;0.6;379;76432;0.5;590;90712;0.6;364;73681;0.5;721;88197;0.8;470;71492;0.7;625;86426;0.7;379;69748;0.5
"05 Zasavska";135;12330;1.1;92;10221;0.9;130;12322;1.0;87;10079;0.9;97;12037;0.8;64;9804;0.6;74;11356;0.6;52;9126;0.6;72;10978;0.7;47;8826;0.5;76;10568;0.7;56;8464;0.7;52;10155;0.5;30;8071;0.4
"06 Spodnjeposavska";235;19787;1.2;148;15417;1.0;249;20335;1.2;157;15830;1.0;221;20777;1.1;137;16187;0.8;148;20299;0.7;93;15714;0.6;128;19554;0.7;78;15065;0.5;160;18715;0.8;96;14311;0.7;132;18343;0.7;84;14037;0.6
