"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih"
"delovnih mest (originalni podatki) po: MERITVE, SKD DEJAVNOST ,"
"ÈETRTLETJE"

" ";" ";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2"
"Število prostih delovnih mest  - SKUPAJ"
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";10139;10187;10140;10178;10157;10308;10207;10113;9764;9806;9826;9824;9770;9961;9973;9992;10078;10198
" ";"S DRUGE DEJAVNOSTI";7625;7761;7732;7709;7548;7640;7648;7645;7285;7395;7503;7433;7245;7497;7619;7705;7398;7495
"Stopnja prostih delovnih mest (%) - SKUPAJ"
" ";"SKD Dejavnost - SKUPAJ (B do S)";0.8;0.8;1.0;0.8;0.8;0.7;0.9;0.6;0.7;0.8;1.0;0.9;1.1;1.3;1.3;1.0;1.4;1.4
" ";"B RUDARSTVO";0.5;0.4;0.1;0.1;0.1;0.1;0.3;0.1;0.1;0.2;0.2;0.2;0.2;1.3;0.2;0.2;0.0;0.0
" ";"C PREDELOVALNE DEJAVNOSTI";0.7;0.7;0.8;0.6;0.6;0.6;0.7;0.5;0.5;0.6;0.8;0.8;1.0;1.1;1.2;0.9;1.3;1.2
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";0.2;0.2;0.2;0.8;0.2;0.2;0.3;0.2;0.2;0.3;0.3;0.3;0.4;0.4;0.4;0.7;0.4 M;N
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";0.2;0.5;0.3;0.3;0.2;0.2;0.3;0.2;0.4;0.4;0.4;0.5;0.5;0.7;0.6;0.5;N;N
" ";"F GRADBENIŠTVO";1.3;2.1;2.2;2.0;2.7;2.2;2.4;1.5;2.6;2.6;2.5;1.3;3.7;3.9;3.0;1.3;4.8;3.8
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";0.8;0.6;0.8;0.6;0.6;0.5;0.6;0.5;0.5;0.6;0.7;0.7;0.8;1.0;0.9;0.9;1.8 M;1.3 M
" ";"H PROMET IN SKLADIŠÈENJE";0.7;0.7;1.1;1.1;0.8;0.8;0.7;0.5;0.7;0.8;1.0;1.1;1.3;1.5;1.8;2.1;1.3;1.7
" ";"I GOSTINSTVO";1.4;1.3;1.5;1.1;1.2;1.2;1.1;1.1;1.0;1.4;1.6;1.9;2.2;2.5;2.3;2.2;2.5 M;3.9 M
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";0.6;0.4;0.6;0.5;0.6;0.3;0.5;0.4;0.4;0.5;0.8;0.9;1.1;1.2;1.4;1.5;1.4;1.8 M
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";0.8;0.5;0.7;0.5;0.4;0.4;0.4;0.4;0.4;0.5;0.6;0.7;0.8;1.2;0.9;0.8;0.9 M;1.2
" ";"L POSLOVANJE Z NEPREMIÈNINAMI";1.1;1.1;0.7;0.8;0.8;0.7;1.0;0.6;0.8;0.8;0.9;1.0;1.0;1.2;1.1;1.2;N;2.2 M
" ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";1.0;1.0;1.6;1.1;1.3;0.9;1.0;1.0;0.9;1.0;1.3;1.1;1.4;1.5;1.9;1.6;1.8;1.9
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2.0;2.5;3.0;2.6;2.6;2.0;2.2;1.5;2.5;2.2;2.2;2.2;2.2;1.9;1.9;1.6;1.7;2.4
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.3;0.4;0.5;0.6;0.6;0.6;0.5;0.1;0.2
